GSA,Site,Site_legend,Code,Lat,Lon,Depth_m
17,17I,17I,17I,42.4315,16.677,93
18,18II,18II,18II,41.627167,16.589167,92
9,9I,9I,9I,41.39983333,12.20416667,530
17,Pomo Pit III,Pomo Pit,Pom1,42.821083,14.9691,216
17,Pom19a,Pomo Pit,Pom2,42.845,14.744,235
17,Pom19b,Pomo Pit,Pom3,42.587417,15.064967,175
17,Ancona,Ancona,Anc,43.779523,13.845952,70
17,Chioggia,Chioggia,Cgg,45.17623,13.24247,37.5
22,Aegean Sea,Aegean Sea,Aeg,40.17,23.54,
Atlantic,Firth of Clyde,Firth of Clyde,Cly,55.860983,-4.90345,60
