Code,Lat,Lon
17I,42.4315,16.677
18II,41.627167,16.589167
9I,41.39983333,12.20416667
Pom1,42.821083,14.9691
Pom2,42.845,14.744
Pom3,42.587417,15.064967
Anc,43.779523,13.845952
Cgg,45.17623,13.24247
Aeg,40.17,23.54
Cly,55.860983,-4.90345
